Annee;Site;Type;Dose;Répétition;Rendement;B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S
2014;45;Mg;0;2;56.54;57.9908;8762.685;2.270;74.219;5111.276;1933.513;222.404;976.103;3.532;11013.00;518810.00;713.40
2014;45;Mg;12;1;71.44;73.1596;8559.953;2.357;81.637;5015.887;2233.045;194.023;1010.058;7.502;10713.00;520980.00;656.10
2014;45;Mg;12;2;51.71;62.0398;8388.328;2.356;75.792;5088.190;2049.873;160.863;999.899;2.795;10838.00;519470.00;793.90
2015;A9;N;0;1;10.22;98.75;5185.456;1.079;113.193;4125.595;1531.911;199.727;814.202;81.246;6247.90;501880.00;389.60
2015;A9;N;0;2;9.74;74.21;5035.613;0.863;74.103;3865.378;1706.928;169.418;847.540;81.542;6825.00;500970.00;275.00
2015;A9;N;15;1;14.5;95.76;5160.181;1.258;146.092;4008.208;1788.897;154.736;810.889;61.150;8366.90;507850.00;697.60
2015;A9;N;15;2;13.03;75.70;4833.962;0.804;53.579;3965.921;1797.942;169.373;827.052;82.994;8525.10;509120.00;797.10
2015;A9;N;30;1;20.27;80.44;5767.259;1.351;64.645;3647.418;1924.120;201.747;804.388;75.353;9006.70;501600.00;696.30
2015;A9;N;30;2;22.22;62.37;5286.889;1.255;34.768;3638.067;1987.811;164.848;842.776;92.510;10367.00;507580.00;751.00
2015;A9;N;45;1;25.47;75.64;5473.421;2.022;52.584;3797.327;1955.209;204.699;824.742;93.247;10988.00;504810.00;652.70
2015;A9;N;45;2;19.2;63.72;5170.082;1.376;103.210;3506.385;1841.465;174.705;850.867;72.467;11370.00;507230.00;733.30
2015;A9;N;60;1;38.86;60.98;5100.932;1.863;87.653;4087.073;1828.742;162.249;924.271;79.489;13253.00;506350.00;1058.90
2015;A9;P;0;1;27.9;62.02;4977.018;1.096;71.110;3824.970;1886.856;187.528;787.399;88.183;10991.00;510240.00;864.30
2015;A9;P;0;2;22.6;62.67;4959.746;1.339;68.214;3628.703;1911.220;151.602;810.015;91.472;10993.00;513440.00;830.40
2015;A9;P;15;1;41.97;78.10;4830.122;0.709;115.195;4025.968;1883.602;150.009;821.200;78.015;11193.00;513210.00;831.60
2015;A9;P;15;2;23.93;61.01;4981.343;0.998;70.771;3406.346;1918.113;143.002;857.394;75.058;12021.00;511000.00;1162.70
2015;A9;P;30;1;30.85;62.87;5701.781;1.161;109.331;4047.966;1829.543;149.460;859.016;66.427;11125.00;504150.00;957.30
2015;A9;P;30;2;26.52;60.29;5455.726;1.156;76.102;3684.369;2072.309;169.731;953.169;72.159;12236.00;510070.00;1090.10
2015;A9;K;0;1;37.09;67.06;5624.494;1.090;111.223;3509.582;1868.738;141.354;852.895;61.937;11927.00;507210.00;852.70
2015;A9;K;0;2;23.72;71.38;5333.914;1.884;77.669;3511.809;2369.883;187.485;961.852;61.602;12146.00;503180.00;840.50
2015;A9;K;40;1;32.68;68.17;5853.195;1.415;136.157;3472.945;2208.316;190.855;880.134;85.971;11267.00;506280.00;746.30
2015;A9;K;40;2;29.38;57.28;5110.652;1.262;40.294;3682.821;1893.175;167.131;893.657;69.702;11295.00;500660.00;969.40
2015;A9;K;80;1;35.92;81.27;5107.233;0.781;82.773;4109.043;2001.868;144.214;849.588;72.812;11857.00;510190.00;865.70
2015;A9;K;80;2;24.09;63.05;5512.046;1.227;31.602;3684.537;2132.039;187.630;959.254;67.562;12020.00;506320.00;957.60
2015;A9;K;120;1;24.93;61.23;5179.991;1.125;66.986;3961.622;1874.007;140.983;816.715;59.563;11218.00;507010.00;1020.30
2015;A9;K;120;2;32.51;49.58;4703.599;2.016;37.172;3723.674;1735.006;127.236;957.746;49.747;13011.00;510880.00;831.20
2015;A9;B;0;1;28.83;42.31;5308.571;1.132;72.302;3896.268;2002.697;162.923;884.498;45.475;10276.00;502220.00;697.00
2015;A9;B;0;2;34.25;28.49;5146.275;0.399;93.859;3727.002;1939.382;146.224;841.399;59.324;11405.00;507440.00;887.40
2015;A9;B;1;1;31.66;57.83;5166.539;5.076;54.197;4584.478;1575.689;146.329;778.459;55.073;12358.00;509790.00;944.80
2015;A9;B;1;2;24.48;48.71;5057.088;3.313;46.497;3670.547;1829.918;180.362;772.887;62.537;11557.00;505320.00;864.70
2015;A9;Cu;0;1;22.31;64.46;5653.830;2.655;65.309;3885.242;1896.388;198.685;765.481;64.120;11265.00;502640.00;925.90
2015;A9;Cu;0;2;38.04;71.48;5125.216;1.634;36.219;3932.374;1967.859;142.520;784.941;43.002;10961.00;507990.00;886.70
2015;A9;Cu;2;1;39.88;79.62;5506.477;1.885;54.996;3986.406;1980.411;164.450;732.246;52.346;11678.00;507080.00;987.70
2015;A9;Cu;2;2;24.89;65.11;5019.230;1.801;48.856;4018.438;2019.271;139.279;769.746;62.567;11189.00;506720.00;1045.20
2015;A9;Mg;0;1;24.14;70.26;4782.290;1.704;41.769;4050.413;1636.270;173.855;739.395;63.567;10771.00;503680.00;863.90
2015;A9;Mg;0;2;22.53;41.31;5102.448;2.587;76.933;3802.210;1509.679;149.999;764.353;58.668;11878.00;507640.00;831.90
2015;A9;Mg;12;1;39.03;68.21;5894.642;2.863;73.872;4215.617;1777.568;155.664;799.415;44.973;12011.00;505180.00;969.90
2015;A9;Mg;12;2;29.91;54.12;5136.784;4.425;84.183;3631.391;1835.199;154.977;728.588;45.698;10217.00;505530.00;831.80
2015;10;N;0;1;7.19;91.58;5123.431;3.184;158.909;4148.264;1055.396;176.108;661.773;43.019;5793.50;502740.00;570.20
2015;10;N;0;2;6.45;87.09;5711.740;0.742;85.091;4448.550;1467.003;203.607;685.851;46.764;5857.30;498220.00;513.40
2015;10;N;15;1;16.27;78.12;5826.230;0.953;115.384;4282.588;1531.808;193.369;683.051;41.376;7018.70;494660.00;631.00
2015;10;N;15;2;17.37;103.19;5703.231;0.729;63.573;4531.400;1466.396;244.376;655.003;42.479;6580.00;494860.00;620.50
2015;10;N;30;1;24.6;79.39;5307.086;0.560;81.189;4249.944;1410.371;172.203;608.207;53.388;8123.10;499360.00;658.50
2015;10;N;30;2;18.87;69.19;4886.945;0.797;42.772;3898.254;1478.609;185.361;630.518;43.602;8384.70;495340.00;515.60
2015;10;N;45;1;34.24;94.78;4994.556;0.764;41.683;4310.054;1326.025;168.756;678.062;49.030;10500.00;502230.00;590.80
2015;10;N;45;2;26.08;72.00;5026.021;0.937;16.529;4321.691;1415.217;162.478;649.887;41.365;10772.00;500360.00;915.60
2015;10;N;60;1;49.71;54.99;4749.072;0.862;12.733;4074.503;1389.089;153.455;702.297;42.493;10830.00;499280.00;895.20
2015;10;N;60;2;20.09;68.96;4862.402;0.798;14.919;3915.520;1409.776;189.696;701.984;40.246;11259.00;497260.00;750.70
2015;10;P;0;1;34.13;70.26;5029.833;0.883;37.342;4588.278;1388.143;189.709;694.386;42.040;10993.00;496780.00;879.30
2015;10;P;0;2;42.34;60.88;4573.648;0.945;11.419;4182.800;1319.384;173.955;670.430;51.491;11011.00;499290.00;854.20
2015;10;P;15;1;28.34;60.52;5025.899;0.734;30.175;4602.465;1380.992;157.812;718.270;42.901;10489.00;493960.00;923.10
2015;10;P;15;2;33.07;89.81;5292.470;1.090;24.162;4672.453;1497.625;190.921;778.664;54.357;11174.00;498960.00;1096.50
2015;10;P;30;1;42.16;47.02;4591.213;0.761;23.565;4024.574;1414.865;151.830;746.634;46.460;10256.00;500800.00;553.00
2015;10;P;30;2;35.32;75.12;5265.739;1.039;40.083;4121.565;1572.228;271.278;810.982;58.169;11011.00;496930.00;842.70
2015;10;K;0;1;18.62;43.32;4916.626;0.580;30.306;3325.869;1307.833;218.265;682.190;69.560;10991.00;501310.00;618.20
2015;10;K;0;2;48.63;172.85;5125.325;0.514;9.259;3149.793;1680.496;145.306;636.959;51.580;9655.50;495150.00;668.10
2015;10;K;40;1;43.9;80.94;5387.225;0.758;30.030;4203.512;1637.441;171.875;746.736;40.971;9756.30;493200.00;660.90
2015;10;K;40;2;34;74.50;5232.865;0.794;54.836;4310.560;1502.128;253.507;734.045;41.980;11032.00;498710.00;922.00
2015;10;K;80;1;23.93;49.53;4843.989;6.609;32.799;4468.660;1180.702;141.269;695.132;47.168;10898.00;503650.00;621.80
2015;10;K;80;2;45.13;75.21;5404.315;3.504;28.579;4605.116;1386.328;201.764;661.739;34.421;10608.00;496990.00;759.80
2015;10;K;120;1;37.62;61.62;5019.712;2.964;23.875;4959.557;1409.348;149.709;678.702;45.119;11932.00;503510.00;979.30
2015;10;K;120;2;47.78;59.33;5064.374;2.562;18.264;4564.790;1345.049;169.603;722.296;21.333;11538.00;473440.00;865.70
2015;10;B;0;1;39.72;28.66;4602.109;1.795;12.560;4135.849;1242.724;95.894;613.779;32.505;10206.00;503470.00;562.50
2015;10;B;0;2;42.74;53.39;5498.857;1.570;37.137;4760.608;1470.693;229.032;662.273;21.682;10126.00;495850.00;789.10
2015;10;B;1;1;29.87;53.65;4989.238;1.623;10.359;4205.697;1351.174;80.341;609.029;31.772;10667.00;502020.00;524.50
2015;10;B;1;2;46.19;64.74;5572.621;1.875;33.014;4206.249;1379.727;208.672;683.082;34.793;10568.00;500630.00;925.50
2015;10;Cu;0;1;27.27;64.54;5473.596;1.087;42.049;4670.140;1271.680;199.694;641.089;40.093;10664.00;497330.00;833.80
2015;10;Cu;0;2;25.28;69.53;5474.294;0.708;11.462;4656.603;1314.043;202.727;621.380;35.485;10745.00;494650.00;844.70
2015;10;Cu;2;1;47.4;57.52;4921.108;0.822;26.036;4466.914;1319.085;139.034;626.547;33.105;10585.00;501960.00;617.10
2015;10;Cu;2;2;23.42;77.73;5325.261;1.428;23.231;4441.971;1421.538;176.462;630.131;36.092;9030.90;495430.00;637.40
2015;10;Mg;0;1;39.05;57.69;5252.251;0.984;9.593;4669.677;1496.824;113.455;686.184;39.819;10297.00;497540.00;610.20
2015;10;Mg;0;2;15.56;55.24;5382.772;1.168;26.286;4738.011;1279.250;201.522;647.007;43.864;10033.00;501750.00;722.70
2015;10;Mg;12;1;31.29;58.03;4626.112;0.955;25.903;4617.393;1362.233;153.305;685.013;39.559;11446.00;501090.00;813.10
2015;10;Mg;12;2;34;47.78;5016.955;1.155;15.811;4519.169;1413.273;180.505;728.437;44.502;10924.00;498700.00;909.30
2015;9;N;0;1;21.23;53.12;6484.985;1.060;123.625;3875.442;1619.421;158.315;763.971;52.791;5795.70;502320.00;254.60
2015;9;N;0;2;14.35;46.03;6103.135;0.455;76.210;3924.879;1516.444;143.717;757.425;42.635;5469.60;500690.00;278.20
2015;9;N;15;1;19.93;58.06;6527.263;0.868;105.109;4400.615;1575.512;242.810;700.280;31.362;7187.60;504090.00;356.30
2015;9;N;15;2;21.07;51.96;6349.902;0.472;65.824;4088.089;1527.235;185.029;749.667;41.590;6903.20;499690.00;383.10
2015;9;N;30;1;24.3;55.04;6146.643;0.583;80.928;4054.872;1507.094;209.229;654.056;36.893;7655.70;500290.00;327.20
2015;9;N;30;2;23.31;44.32;5334.366;0.876;19.275;4804.615;1620.087;137.948;719.722;36.487;9259.80;508480.00;392.00
2015;9;N;45;1;42.99;48.10;5722.822;1.254;57.678;4895.000;1355.771;204.122;715.135;34.422;10532.00;503640.00;580.80
2015;9;N;45;2;41.15;43.06;5475.759;0.730;24.684;4379.072;1531.016;163.708;816.485;38.090;10930.00;505740.00;490.10
2015;9;N;60;1;25.47;37.77;5087.231;1.065;44.547;4914.364;1325.100;197.556;759.772;41.015;11870.00;509600.00;644.80
2015;9;N;60;2;32.35;31.77;5368.080;1.719;0.000;5585.483;1367.317;172.310;962.050;35.234;12677.00;503840.00;558.70
2015;9;P;0;1;41.97;50.28;5046.828;0.521;61.285;4323.620;1440.099;195.842;645.899;44.769;8132.40;499680.00;456.30
2015;9;P;0;2;23.68;48.31;6128.005;0.886;65.895;4729.276;1543.901;218.785;674.994;38.642;12760.00;506590.00;645.20
2015;9;P;15;1;35.31;58.86;6034.661;0.943;94.491;4768.038;1510.485;190.375;731.000;37.364;10076.00;507790.00;657.00
2015;9;P;15;2;32.95;44.65;5832.912;1.048;17.409;4664.825;1495.766;178.911;783.511;41.554;10902.00;507400.00;678.70
2015;9;P;30;1;35.52;47.79;5173.217;5.591;50.160;4340.855;1370.260;145.965;677.361;37.632;9392.00;506560.00;456.40
2015;9;P;30;2;28.39;45.73;5291.063;3.496;26.597;4448.397;1356.986;155.781;673.005;42.548;8229.60;499160.00;457.40
2015;9;K;0;1;25.61;44.59;6394.846;2.941;61.332;3125.859;1750.419;248.534;693.360;41.339;9871.20;506630.00;474.80
2015;9;K;0;2;28.35;43.25;5569.236;2.192;18.204;3015.875;1564.991;163.644;630.171;45.789;10565.00;503430.00;571.30
2015;9;K;40;1;45.26;40.85;6480.815;2.217;85.489;4093.751;1551.924;145.243;719.125;48.041;11012.00;506860.00;773.10
2015;9;K;40;2;30.19;41.83;5849.054;1.711;45.604;4607.042;1440.057;209.524;682.478;40.363;11357.00;505770.00;877.20
2015;9;K;80;1;38.21;52.71;5700.958;1.410;56.714;4564.697;1411.403;152.777;706.777;41.344;9709.40;501550.00;870.30
2015;9;K;80;2;28.94;41.52;5609.297;1.318;26.391;4268.927;1514.224;166.229;680.105;40.088;11606.00;509430.00;543.20
2015;9;K;120;1;30.26;48.79;5611.949;1.911;82.258;5186.768;1366.777;199.840;737.251;40.921;10921.00;505350.00;763.80
2015;9;K;120;2;27.53;43.62;5284.443;2.700;34.307;4775.998;1417.046;148.559;737.406;42.156;11176.00;502080.00;821.10
2015;9;B;0;1;33.89;39.91;5418.264;2.055;71.539;4546.587;1372.809;165.606;686.411;47.084;10942.00;509830.00;800.90
2015;9;B;0;2;35.11;30.05;5995.636;1.535;11.086;4738.901;1503.482;141.675;740.847;32.529;11039.00;508620.00;669.40
2015;9;B;1;1;33.79;45.95;5380.696;1.556;80.419;4237.198;1510.790;166.696;648.996;48.845;9577.10;504410.00;679.70
2015;9;B;1;2;31.14;44.56;5988.984;0.785;48.338;4602.213;1521.220;178.118;710.535;38.900;10699.00;502550.00;544.50
2015;9;Cu;0;1;36.52;48.72;5997.939;0.832;35.604;4095.169;1519.340;130.762;670.131;41.010;11685.00;509650.00;742.40
2015;9;Cu;0;2;24.14;39.82;5455.633;0.954;13.230;4690.994;1366.500;185.704;732.719;50.023;10577.00;501290.00;567.70
2015;9;Cu;2;1;34.2;43.40;5737.021;2.971;76.761;4764.289;1481.180;197.055;704.475;47.510;11379.00;503560.00;669.50
2015;9;Cu;2;2;31.09;43.31;5431.691;1.025;22.616;5119.102;1441.715;207.259;790.721;39.495;13276.00;506590.00;910.10
2015;9;Mg;0;1;40.87;48.86;5193.112;0.343;38.602;4496.972;1286.245;158.821;705.376;27.856;11531.00;507350.00;646.10
2015;9;Mg;0;2;27.2;69.57;5420.406;0.514;55.180;4450.914;1377.347;166.815;669.241;40.540;9432.70;496230.00;386.70
2015;9;Mg;12;1;45.72;51.33;5623.229;1.037;52.513;4571.826;1402.507;183.592;715.016;39.967;11616.00;506160.00;652.00
2015;9;Mg;12;2;31.74;48.98;5471.453;0.957;24.073;4711.523;1428.077;157.444;744.041;42.339;11206.00;502320.00;768.80
2015;45;N;0;1;19.26;52.79;6013.518;0.997;87.382;4057.000;1388.798;92.710;614.816;38.028;5709.30;500430.00;403.00
2015;45;N;0;2;12.74;55.68;5814.282;0.077;40.796;3871.117;1455.148;79.569;613.932;39.050;5820.40;496630.00;326.50
2015;45;N;15;1;30.68;49.46;5400.981;0.084;26.680;4342.910;1483.581;75.716;721.960;46.400;8069.80;501520.00;240.10
2015;45;N;15;2;31.84;46.62;5855.344;0.195;17.536;3816.481;1680.015;86.173;683.230;59.143;7709.50;501400.00;324.10
2015;45;N;30;1;35.9;36.81;5926.859;0.594;54.093;4048.796;1480.259;94.391;654.374;53.861;13262.00;610210.00;810.10
2015;45;N;30;2;36.17;49.62;5150.795;0.935;24.979;3990.925;1683.080;105.595;776.622;63.904;6895.40;419750.00;358.90
2015;45;N;45;1;38.54;47.64;6640.279;0.041;97.534;3999.803;1395.071;118.697;621.443;51.357;8597.50;504460.00;508.60
2015;45;N;45;2;31.15;59.21;4983.327;0.649;26.727;4328.208;1514.710;94.817;794.628;52.699;10879.00;503910.00;990.60
2015;45;N;60;1;51.03;48.20;5093.239;9.174;132.873;4702.673;1222.418;162.469;679.144;24.293;10832.00;503530.00;693.90
2015;45;N;60;2;34.54;49.72;5652.007;4.235;55.752;5116.401;1355.409;177.547;883.415;12.888;12961.00;499790.00;774.80
2015;45;P;0;1;41.21;49.37;6400.413;3.325;69.671;4291.172;1420.069;138.612;615.989;17.944;9802.60;500450.00;475.00
2015;45;P;0;2;35.12;61.35;5545.810;3.858;64.353;4310.395;1380.943;124.549;713.133;8.580;11716.00;501670.00;701.70
2015;45;P;15;1;41.39;45.40;4661.586;2.489;53.027;4139.245;1215.692;105.605;680.607;12.498;10629.00;508070.00;458.10
2015;45;P;15;2;31.86;54.43;4640.027;3.918;32.518;4286.098;1306.076;110.501;789.814;10.721;11848.00;505310.00;847.70
2015;45;P;30;1;47.04;61.15;5148.082;2.826;104.017;4428.246;1381.625;131.246;747.367;11.478;9885.60;502110.00;675.80
2015;45;P;30;2;30.25;44.07;4593.634;1.935;45.146;4093.806;1328.471;99.028;848.092;11.379;11271.00;502430.00;739.10
2015;45;K;0;1;50.39;62.87;5745.886;1.349;65.269;2550.017;1617.581;126.566;655.679;14.848;8724.50;500570.00;321.10
2015;45;K;0;2;26.88;46.63;6414.292;1.948;45.486;2946.824;1582.749;112.697;744.678;17.826;9616.00;495030.00;487.80
2015;45;K;40;1;39.16;45.31;5259.197;2.444;64.519;4090.250;1308.483;110.629;750.889;15.242;10937.00;508100.00;634.90
2015;45;K;40;2;32.07;55.50;5624.432;2.202;45.395;3887.214;1476.326;113.487;752.292;13.909;10409.00;500160.00;731.40
2015;45;K;80;1;43.01;53.72;4625.615;1.948;80.045;4419.441;1246.270;110.183;723.131;12.361;10240.00;508800.00;734.60
2015;45;K;80;2;33.29;57.13;4864.009;1.809;37.450;4269.456;1469.234;138.276;803.055;18.400;11243.00;499770.00;843.90
2015;45;K;120;1;53.66;50.59;5054.570;1.657;48.636;3953.679;1278.908;132.903;641.373;15.824;9917.20;505090.00;568.80
2015;45;K;120;2;24.5;53.41;5068.799;1.513;28.452;4136.617;1425.303;93.143;725.147;17.087;9148.40;498690.00;520.50
2015;45;B;0;1;31.97;36.58;5513.917;1.617;18.450;3726.713;1419.986;118.278;716.589;17.608;9782.30;503010.00;571.70
2015;45;B;0;2;46.63;25.22;5553.379;1.452;37.143;3958.474;1464.852;102.181;747.954;16.628;9040.20;498790.00;655.20
2015;45;B;1;1;48.31;48.88;5429.031;1.364;48.004;4031.145;1501.593;112.738;739.724;14.153;10401.00;507780.00;729.20
2015;45;B;1;2;39;39.15;5054.550;1.402;79.012;3997.894;1382.581;116.095;750.775;14.446;10901.00;505390.00;713.30
2015;45;Cu;0;1;44.18;46.48;5232.616;1.488;39.599;4163.021;1486.414;96.626;750.620;16.145;11012.00;502910.00;696.30
2015;45;Cu;0;2;26.5;65.94;4332.628;3.904;129.190;4085.050;1236.815;94.533;742.584;17.529;10269.00;503790.00;737.60
2015;45;Cu;2;1;30.66;40.37;5527.562;2.025;48.649;3893.837;1592.347;103.382;840.272;24.339;10189.00;502150.00;566.30
2015;45;Cu;2;2;34.9;65.64;6062.567;1.130;63.505;3657.235;1423.169;118.398;666.803;19.805;11621.00;505580.00;902.20
2015;45;Mg;0;1;45.41;53.55;4736.030;1.327;92.105;4284.471;1307.219;139.864;938.378;17.089;8723.90;504130.00;566.00
2015;45;Mg;0;2;34.58;34.27;4537.641;0.825;29.487;3694.477;1461.436;90.880;800.102;24.748;13404.00;509850.00;881.50
2015;45;Mg;12;1;47.17;49.58;5643.990;1.333;48.205;3770.931;1541.755;110.000;748.154;25.250;10631.00;502890.00;728.40
2015;45;Mg;12;2;29.68;47.14;6025.256;1.277;34.412;3658.141;1609.513;105.089;767.130;22.849;10783.00;501170.00;577.90
